"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402824","24","false","3","80","80","2","50","3","72","72","1","35","1","15","3","8","PUNT","false","17","12","17","12"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402825","25","true","3","25","75","1","35","4","100","0","13","28","3","7","10","75","TD","true","12","17","18","17"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402826","26","false","4","70","70","13","28","4","70","70","13","20","0","8","1","0","INT","false","17","18","17","18"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402827","27","true","4","64","36","13","20","4","100","0","11","45","1","35","4","36","TD","true","18","17","25","17"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402828","28","false","4","68","68","11","37","4","67","67","11","1","0","36","3","1","PUNT","false","17","25","17","25"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402829","29","false","4","18","82","11","1","4","23","77","9","45","1","16","3","5","PUNT","true","25","17","25","17"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402830","30","false","4","64","64","9","45","4","60","60","8","9","1","36","3","4","PUNT","false","17","25","17","25"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402831","31","false","4","12","88","8","9","4","25","75","4","18","3","51","6","13","PUNT","true","25","17","25","17"
"Washington State","Pac-12","UCLA","Pac-12","401524028","40152402832","32","false","4","73","73","4","18","4","40","40","1","33","2","45","9","33","DOWNS","false","17","25","17","25"
"UCLA","Pac-12","Washington State","Pac-12","401524028","40152402833","33","false","4","41","59","1","33","4","50","50","0","0","1","33","4","9","END OF GAME","true","25","17","25","17"
"Notre Dame","FBS Independents","Louisville","ACC","401525439","4015254391","1","false","1","78","78","15","0","1","49","49","13","11","1","49","4","29","INT","false","0","0","0","0"
"Louisville","ACC","Notre Dame","FBS Independents","401525439","4015254392","2","true","1","30","70","13","11","1","100","0","6","5","7","6","12","70","TD","true","0","0","7","0"
"Notre Dame","FBS Independents","Louisville","ACC","401525439","4015254393","3","false","1","85","85","6","5","1","74","74","4","3","2","2","4","11","PUNT","false","0","7","0","7"
