"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031111","11","true","2","61","39","6","57","2","100","0","4","28","2","29","6","39","TD","true","3","0","10","0"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031112","12","true","2","75","75","4","28","2","6","6","0","4","4","24","9","69","INT TD","false","0","10","0","17"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031113","13","false","2","75","75","0","4","2","83","83","0","0","0","4","1","-8","END OF HALF","false","0","17","0","17"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031114","14","false","3","75","75","15","0","3","49","49","12","1","2","59","7","26","PUNT","false","0","17","0","17"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031115","15","false","3","11","89","12","1","3","31","69","9","42","2","19","4","20","PUNT","true","17","0","17","0"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031116","16","false","3","67","67","9","42","3","73","73","8","17","1","25","3","-6","PUNT","false","0","17","0","17"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031117","17","false","3","48","52","8","17","3","57","43","6","28","1","49","4","9","DOWNS","true","17","0","17","0"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031118","18","true","3","57","57","6","28","3","0","0","1","26","5","2","10","57","TD","false","0","17","6","17"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031119","19","true","3","28","72","1","26","4","100","0","10","51","5","35","15","72","TD","true","17","6","24","6"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031120","20","false","4","65","65","10","51","4","61","61","9","46","1","5","3","4","PUNT","false","6","24","6","24"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031121","21","false","4","11","89","9","46","4","28","72","7","45","2","1","4","17","PUNT","true","24","6","24","6"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031122","22","false","4","70","70","7","45","4","11","11","5","46","1","59","7","59","DOWNS","false","6","24","6","24"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031123","23","false","4","11","89","5","46","4","21","79","4","42","1","4","3","10","FUMBLE","true","24","6","24","6"
"Rutgers","Big Ten","Wisconsin","Big Ten","401520311","40152031124","24","true","4","21","21","4","42","4","0","0","4","7","0","35","3","21","TD","false","6","24","13","24"
"Wisconsin","Big Ten","Rutgers","Big Ten","401520311","40152031125","25","false","4","48","52","4","6","4","68","32","0","0","4","6","7","20","END OF 4TH QUARTER","true","24","13","24","13"
