team_id,train_offense_coeff,test_offense_coeff,team_name,train_defense_coeff,test_defense_coeff
67,-0.3866350540486442,0.14219448523611405,Hawai'i,0.3866350540486442,-0.14219448523611405
219,0.4210258847712403,0.27737530550901185,Vanderbilt,-0.4210258847712403,-0.27737530550901185
215,-0.0365937404292278,0.28393204982729453,Utah State,0.0365937404292278,-0.28393204982729453
3,1.5758370292838244,1.7568743409060803,Alabama,-1.5758370292838244,-1.7568743409060803
10,0.8400884009245294,0.9982581050691989,Arkansas,-0.8400884009245294,-0.9982581050691989
35,0.5516152612782276,0.43569383418723096,Cincinnati,-0.5516152612782276,-0.43569383418723096
14,0.8453242139937376,0.9369303996683146,Auburn,-0.8453242139937376,-0.9369303996683146
105,-0.429339690365465,-1.0455696484777965,Mercer,0.429339690365465,1.0455696484777965
53,1.0805547638938617,0.8174995175029053,Florida,-1.0805547638938617,-0.8174995175029053
214,0.8994077419352231,1.0034285847806028,Utah,-0.8994077419352231,-1.0034285847806028
149,1.482503483030123,1.9574892748344366,Oregon,-1.482503483030123,-1.9574892748344366
62,1.6771606239922248,1.6210571117145123,Georgia,-1.6771606239922248,-1.6210571117145123
108,0.15536808818922296,0.46007609324487486,Miami (OH),-0.15536808818922296,-0.46007609324487486
88,0.9193114710222262,0.7088852824369125,Kentucky,-0.9193114710222262,-0.7088852824369125
199,0.4563009934715805,0.7659412234384367,Troy,-0.4563009934715805,-0.7659412234384367
148,1.3398881362225186,1.3282084271589516,Ole Miss,-1.3398881362225186,-1.3282084271589516
113,0.6645848926200049,0.6318396292479865,Mississippi State,-0.6645848926200049,-0.6318396292479865
104,0.537872455879259,0.6501275075167712,Memphis,-0.537872455879259,-0.6501275075167712
64,0.02941571466131213,0.25088290117429185,Georgia State,-0.02941571466131213,-0.25088290117429185
170,1.0150207310644117,0.7517218453436079,South Carolina,-1.0150207310644117,-0.7517218453436079
17,-0.29461349164778855,-0.15782667296664182,Ball State,0.29461349164778855,0.15782667296664182
188,1.436764713705216,1.4494399459282776,Tennessee,-1.436764713705216,-1.4494399459282776
165,0.08560108540260772,-0.21430838401481822,Sam Houston,-0.08560108540260772,0.21430838401481822
192,0.9955581221131284,1.1767768636682165,Texas A&M,-0.9955581221131284,-1.1767768636682165
52,-0.40806834082215027,-0.14275239584945726,Elon,0.40806834082215027,0.14275239584945726
89,1.4138044904819127,1.1667527410561642,LSU,-1.4138044904819127,-1.1667527410561642
57,0.886165814259217,1.0369859423590835,Florida State,-0.886165814259217,-1.0369859423590835
136,-0.7162170657807012,-0.1959196805265365,Northern Arizona,0.7162170657807012,0.1959196805265365
9,0.651752213303035,0.586536255557769,Arizona State,-0.651752213303035,-0.586536255557769
39,0.35910903976175157,0.5594941082200163,Colorado,-0.35910903976175157,-0.5594941082200163
185,0.9520683186881153,1.2282695658103147,TCU,-0.9520683186881153,-1.2282695658103147
167,0.016787658869289575,-0.06872729727753471,San Diego State,-0.016787658869289575,0.06872729727753471
8,0.6313309165909337,0.6175498356565033,Arizona,-0.6313309165909337,-0.6175498356565033
27,0.7019164701187663,0.6737412418923424,California,-0.7019164701187663,-0.6737412418923424
204,0.1744483311297772,-0.9572689430933616,UC Davis,-0.1744483311297772,0.9572689430933616
20,0.7925048389577172,0.8743058729305516,Boise State,-0.7925048389577172,-0.8743058729305516
150,0.924939433366203,0.8396176017221127,Oregon State,-0.924939433366203,-0.8396176017221127
181,0.1958809108362248,0.2880548290658854,Stanford,-0.1958809108362248,-0.2880548290658854
38,-0.9919927327662487,-1.012285692378549,Colgate,0.9919927327662487,1.012285692378549
206,0.6691688467332297,0.8130144304298874,UCLA,-0.6691688467332297,-0.8130144304298874
22,0.16130393604851329,0.2972771558386379,Bowling Green,-0.16130393604851329,-0.2972771558386379
87,-0.49211703187492695,-0.3788466272659629,Kent State,0.49211703187492695,0.3788466272659629
225,1.1431572446737044,1.0665768833763338,Washington,-1.1431572446737044,-1.0665768833763338
226,0.7522479096385607,0.7870574266825201,Washington State,-0.7522479096385607,-0.7870574266825201
72,0.5067711797945809,1.0030133596851238,Idaho,-0.5067711797945809,-1.0030133596851238
190,-0.8215675858692316,-0.9442088791426684,Tennessee Tech,0.8215675858692316,0.9442088791426684
84,0.8046237463940422,0.6412594307783673,Kansas,-0.8046237463940422,-0.6412594307783673
119,-1.0989535832524604,-0.8732527571626303,Murray State,1.0989535832524604,0.8732527571626303
195,0.9129618634444542,0.8999472166511038,Texas Tech,-0.9129618634444542,-0.8999472166511038
85,1.1387540888256311,1.4278693042812574,Kansas State,-1.1387540888256311,-1.4278693042812574
172,-0.10416711034544325,-0.16059266199079003,South Dakota,0.10416711034544325,0.16059266199079003
175,-0.8341244855940659,0.12061334172120661,Southeast Missouri State,0.8341244855940659,-0.12061334172120661
80,0.9160620079658217,1.0474883440027025,Iowa State,-0.9160620079658217,-1.0474883440027025
208,-0.2700183866229671,-0.041300472235094095,UL Monroe,0.2700183866229671,0.041300472235094095
191,1.4849904684034416,1.6976658896854475,Texas,-1.4849904684034416,-1.6976658896854475
142,1.2613421916462464,1.3163450004599695,Notre Dame,-1.2613421916462464,-1.3163450004599695
144,1.6110335447722588,1.852701551781791,Ohio State,-1.6110335447722588,-1.852701551781791
13,0.5050736660651117,0.5631293766921547,Army,-0.5050736660651117,-0.5631293766921547
37,0.3355888989236021,0.24096480682631394,Coastal Carolina,-0.3355888989236021,-0.24096480682631394
207,-0.03317175725322801,0.2757819619550811,UConn,0.03317175725322801,-0.2757819619550811
