team_id,team_name,train_offense_coeff,test_offense_coeff,train_defense_coeff,test_defense_coeff
0,Abilene Christian,0.3833899344897903,0.15631537856118277,0.25378405179746055,-0.055196698971562645
1,Air Force,0.3010283514794553,0.48021872318899705,-0.05604712497189435,-0.11499334839896837
10,Arkansas,0.33185615755234776,0.6048309773193075,-0.08912767524762451,-0.06616201867362885
100,Marshall,-0.20443038435559233,0.01427357599956172,-0.043835325732940085,-0.04539598463168503
101,Maryland,0.31404713557155617,0.41306533765138337,-0.17003826206867698,-0.16989051877836608
102,Massachusetts,-0.12128326382122165,-0.14471134941023947,-0.0647792849182723,0.015380348765605163
103,McNeese,-0.8134755270774809,-0.30360364875882717,0.2912760107861901,0.19574050515647629
104,Memphis,0.7434334085776908,0.8668052646814295,-0.07469727624962298,-0.005929041726138072
105,Mercer,-0.34868078050647094,-1.1527678928322318,-0.08182218899554212,-0.09933617264793024
106,Merrimack,-0.5046429587000049,-0.9362907781822305,-0.023300753062849178,-0.09356314351598108
107,Miami,0.7300792934434378,0.9517254081172637,-0.11782706619083612,-0.013793584469512074
108,Miami (OH),0.33035897567117584,0.12322255972311301,0.32083085203198725,-0.19119927553105334
109,Michigan,0.7430357880548785,0.7655835649935783,0.005110466357573463,-0.02655539513870964
11,Arkansas State,-0.050287454005093435,0.4975110713916776,0.27086883132353634,-0.037242907710818264
110,Michigan State,-0.3609478321818691,0.19753709579588863,-0.11835516627007067,-0.18064762580976315
111,Middle Tennessee,-0.10317848045899564,0.029847231736221506,-0.052721522797468764,-0.012209227597335948
112,Minnesota,0.3543453543444452,0.18354849125678716,-0.10946802878396496,-0.12654810198444985
113,Mississippi State,0.0884211015691444,0.2749975487695724,-0.029633304778784297,-0.06773564316371344
114,Missouri,0.331386587292676,0.6799205948241523,0.04807914820399035,-0.07979887779569614
115,Missouri State,0.3294207519058301,0.2198839185749805,0.11634882111979715,0.47719648190938685
116,Monmouth,0.7621399175706818,0.891233829281533,-0.1125672074433962,-0.10865203907063095
117,Montana State,0.3671156974050937,1.8114232388429188,-0.1044413791168081,-0.11601843606968473
118,Morgan State,-1.2374019446143008,-1.1023866999957697,-0.11193341781201452,0.5134825093421354
119,Murray State,-0.9249198738793877,-1.1487385866453808,-0.08571137334222716,-0.10619559165543194
12,Arkansas-Pine Bluff,-1.0459874179670965,-1.2509411507100665,-0.07906151250056656,-0.10387100724583198
120,NC State,0.003040455039890858,0.12328776720540288,-0.11665192030298235,-0.012440075668031481
121,Navy,-0.17885873342437028,-0.36399505890223255,-0.00898652301426608,-0.18272556899719852
122,Nebraska,-0.21289056954981936,0.06436822281419664,-0.05804486180592903,-0.19575728991117508
123,Nevada,-0.0827303460295048,-0.08115096837589277,0.03758701545279865,-0.03453549976333117
124,New Hampshire,-0.016357136210998293,-0.907760470823474,-0.09427620906232033,-0.11611288997369335
125,New Mexico,0.16629762768562764,0.47238438441267766,0.0013453585805961125,-0.02060335968529073
126,New Mexico State,0.4547720670784934,-0.13352537414169596,-0.0775166299065548,-0.18158000992597773
127,Nicholls,-0.62913093142572,-0.8151627347022172,0.17399951424607943,-0.1182834199189334
128,Norfolk State,-1.0389822700486269,-1.0089047375067821,-0.023552473885974028,-0.09615852205629193
129,North Alabama,-0.9014756621961115,-1.2677455362291477,-0.09340381231506939,-0.09554139602441833
13,Army,0.48146051646303334,0.5237861749522997,0.19970470249738412,0.44385527569675154
130,North Carolina,0.5421552557119346,0.8952099866901868,0.16742510082171497,-0.06417837460610047
131,North Carolina A&T,-0.12171762751639394,0.15324085266304963,-0.10067752107073931,-0.109573330446991
132,North Carolina Central,-0.48422798634800074,-1.3978341267254888,-0.08448559331798645,-0.0978646050595295
133,North Dakota,-0.5133877587124243,0.37870566330143096,-0.11356794724920073,-0.08443170167083247
134,North Dakota State,2.0757862020306974,-0.9529415708715805,-0.13226624128183623,-0.14467167875606615
