Year,Conference,Offense Rating,Offense Success,Offense Explosiveness,Offense Rushing,Offense Passing,Offense StandardDowns,Offense PassingDowns,Offense RunRate,Offense Pace,Team
2023,SEC,23.6,,,,,,,,,Vanderbilt
2023,American Athletic,15.4,,,,,,,,,East Carolina
2023,Conference USA,22.1,,,,,,,,,Louisiana Tech
2023,American Athletic,15.0,,,,,,,,,Navy
2023,American Athletic,20.9,,,,,,,,,Tulsa
2023,Conference USA,16.0,,,,,,,,,Sam Houston
2023,Sun Belt,23.5,,,,,,,,,Southern Miss
2023,American Athletic,26.9,,,,,,,,,UAB
2023,Mid-American,12.6,,,,,,,,,Ball State
2023,Mid-American,15.3,,,,,,,,,Buffalo
2023,FBS Independents,17.0,,,,,,,,,UConn
2023,Mid-American,19.1,,,,,,,,,Western Michigan
2023,Conference USA,16.9,,,,,,,,,UTEP
2023,Mountain West,19.4,,,,,,,,,Hawai'i
2023,Mountain West,22.5,,,,,,,,,New Mexico
2023,FBS Independents,20.8,,,,,,,,,Massachusetts
2023,Mid-American,16.8,,,,,,,,,Central Michigan
2023,American Athletic,18.6,,,,,,,,,Temple
2023,Conference USA,16.0,,,,,,,,,Florida International
2023,American Athletic,14.8,,,,,,,,,Charlotte
2023,Sun Belt,17.6,,,,,,,,,UL Monroe
2023,Mid-American,10.5,,,,,,,,,Akron
2023,Mountain West,14.6,,,,,,,,,Nevada
2023,Mid-American,8.2,,,,,,,,,Kent State
2023,,26.369924812030074,,,,,,,,,nationalAverages
