Offense,Yards,Plays,Scoring,Drive Result,Elapsed Minutes,Elapsed Seconds
Southern Miss,48,9,False,PUNT,5,2
Old Dominion,2,3,False,PUNT,1,15
Southern Miss,14,5,False,PUNT,3,25
Old Dominion,42,9,False,PUNT,3,43
Southern Miss,14,4,False,END OF HALF,0,51
Southern Miss,-2,3,False,PUNT,1,25
Old Dominion,5,3,False,PUNT,1,12
Southern Miss,41,12,True,FG,4,41
Old Dominion,9,3,False,PUNT,1,14
Old Dominion,4,4,False,DOWNS,1,22
Southern Miss,8,3,False,PUNT,1,26
Old Dominion,48,8,True,FG,3,12
Southern Miss,19,6,False,PUNT,2,51
Old Dominion,62,3,True,TD,0,58
Southern Miss,74,14,False,DOWNS,7,28
Old Dominion,22,7,False,END OF GAME,3,51
Troy,75,12,True,TD,5,10
Arkansas State,2,3,False,PUNT,1,13
Troy,4,3,False,PUNT,0,49
Arkansas State,10,6,False,PUNT,3,46
Troy,-15,5,False,FUMBLE,2,58
Arkansas State,27,4,False,PUNT,1,51
Troy,71,6,True,TD,2,2
Arkansas State,6,3,False,PUNT,1,46
Troy,-1,3,False,PUNT,1,52
Arkansas State,8,4,False,DOWNS,1,34
Troy,27,7,True,FG,3,12
Arkansas State,39,8,False,DOWNS,2,56
Troy,53,7,True,FG,0,51
Arkansas State,21,7,False,DOWNS,2,34
Troy,59,9,True,FG,4,19
Arkansas State,8,3,False,PUNT,1,14
Troy,18,5,False,PUNT,3,27
Arkansas State,21,4,False,PUNT,1,25
Troy,95,8,True,TD,4,0
Arkansas State,14,5,False,PUNT,3,0
Troy,78,3,True,TD,1,33
Arkansas State,47,13,True,FG,4,22
Troy,20,6,False,DOWNS,3,51
Ball State,40,7,False,DOWNS,3,24
Eastern Michigan,26,9,True,FG,5,37
Ball State,49,6,True,FG,2,41
Eastern Michigan,65,11,True,TD,5,9
Ball State,19,3,False,FUMBLE,1,38
Eastern Michigan,62,9,True,TD,4,39
Ball State,71,8,True,TD,4,0
Eastern Michigan,7,3,False,PUNT,0,55
Ball State,-1,3,False,PUNT,0,27
Eastern Michigan,14,5,False,PUNT,0,45
Ball State,-2,1,False,END OF HALF,0,24
Eastern Michigan,75,8,True,TD,4,23
Ball State,42,5,False,PUNT,3,0
Eastern Michigan,-1,3,False,PUNT,1,0
Ball State,3,3,False,PUNT,1,59
Eastern Michigan,37,11,False,MISSED FG,5,12
Ball State,15,5,False,PUNT,2,16
Eastern Michigan,-1,3,False,PUNT,1,4
Ball State,28,10,False,DOWNS,4,19
Eastern Michigan,2,5,False,PUNT,3,28
Ball State,47,10,False,FUMBLE,2,56
Eastern Michigan,-2,1,False,END OF HALF,0,14
Buffalo,6,3,False,PUNT,1,58
Central Michigan,76,3,True,TD,0,47
Central Michigan,13,7,False,PUNT,3,32
Buffalo,20,5,False,DOWNS,1,39
Central Michigan,0,1,False,FUMBLE,0,8
Buffalo,61,9,True,FG,3,46
Central Michigan,75,18,True,TD,7,13
Buffalo,50,13,True,FG,5,48
Central Michigan,-1,3,False,INT,0,44
Buffalo,43,5,True,TD,2,28
Central Michigan,23,6,False,DOWNS,0,43
Buffalo,18,5,True,FG,1,5
Central Michigan,75,4,True,TD,1,44
Central Michigan,22,7,False,DOWNS,2,1
Buffalo,47,6,True,TD,1,56
Central Michigan,-1,4,False,PUNT,1,59
Buffalo,6,3,False,PUNT,0,58
Central Michigan,34,8,False,PUNT,3,7
Buffalo,7,3,False,PUNT,1,33
Central Michigan,-4,4,False,PUNT,1,14
Buffalo,78,16,False,MISSED FG,9,7
Central Michigan,80,10,True,TD,3,38
Buffalo,-1,3,False,PUNT,1,49
Central Michigan,32,4,False,Uncategorized,0,53
Miami (OH),75,17,True,TD,11,31
Bowling Green,13,5,False,PUNT,2,16
Miami (OH),61,8,False,FUMBLE,5,13
Bowling Green,6,5,False,PUNT,3,31
Miami (OH),7,3,False,PUNT,0,3
Bowling Green,15,5,False,PUNT,2,41
Miami (OH),82,10,True,TD,3,53
Bowling Green,-2,1,False,END OF HALF,0,52
Bowling Green,47,15,False,MISSED FG,6,10
Miami (OH),72,9,True,TD,5,17
Bowling Green,25,4,False,INT,1,50
Miami (OH),2,4,True,FG,1,34
Bowling Green,3,5,False,PUNT,1,54
Miami (OH),51,13,True,FG,9,54
Bowling Green,3,3,False,PUNT,1,17
Miami (OH),4,3,False,END OF GAME,2,4
Ohio,0,3,False,PUNT,1,3
Kent State,5,5,False,PUNT,3,14
Ohio,34,9,False,PUNT,4,32
Kent State,26,8,False,PUNT,5,20
Ohio,55,6,True,TD,2,16
Kent State,77,7,True,TD,2,9
Ohio,25,9,False,PUNT,4,7
Kent State,1,3,False,PUNT,2,19
Ohio,41,2,True,TD,0,49
Kent State,0,3,False,PUNT,1,27
Ohio,57,5,True,TD,1,53
Kent State,-11,2,False,END OF HALF,0,29
Kent State,42,7,True,FG,2,34
Ohio,90,6,True,TD,2,59
Kent State,-1,2,False,INT,0,38
Ohio,31,6,True,TD,2,56
Kent State,21,4,False,PUNT,1,32
Ohio,69,11,True,TD,5,31
Kent State,76,10,True,TD,3,23
Ohio,72,7,False,DOWNS,4,23
Kent State,6,3,False,PUNT,1,22
Ohio,7,3,False,PUNT,2,21
Kent State,21,3,False,END OF 4TH QUARTER,1,51
Northern Illinois,75,6,True,TD,2,18
Akron,65,12,True,TD,5,31
Northern Illinois,33,8,False,DOWNS,3,41
Akron,29,15,False,MISSED FG,6,8
Northern Illinois,71,2,True,TD,0,51
Akron,1,3,False,PUNT,1,6
Northern Illinois,64,4,True,TD,1,45
Akron,3,3,False,PUNT,1,23
Northern Illinois,53,3,True,TD,1,33
Akron,1,3,False,PUNT,1,26
Northern Illinois,59,2,True,TD,0,45
Akron,-5,3,False,PUNT,0,59
Northern Illinois,3,3,False,PUNT,1,37
Akron,8,2,False,END OF HALF,0,32
Akron,6,4,False,PUNT,2,5
Northern Illinois,57,4,True,TD,0,33
Akron,3,3,False,PUNT,1,29
Northern Illinois,63,3,True,TD,1,39
Akron,70,5,True,TD,2,14
Northern Illinois,50,6,True,TD,2,55
Akron,4,3,False,INT,0,57
Northern Illinois,6,4,False,MISSED FG,1,24
Akron,26,12,False,PUNT,5,33
Northern Illinois,24,4,False,PUNT,2,20
Akron,29,6,False,PUNT,4,2
Northern Illinois,9,4,False,DOWNS,2,15
Akron,26,6,False,DOWNS,1,58
Colorado State,9,3,False,PUNT,1,22
Colorado State,28,7,True,FG,2,4
Utah State,5,3,True,PUNT TD,0,51
Utah State,4,2,False,INT,0,30
Colorado State,33,2,True,TD,0,32
Utah State,-5,3,False,PUNT,1,31
Colorado State,0,3,False,PUNT,0,27
Utah State,30,10,False,PUNT,4,16
Colorado State,7,3,False,PUNT,1,4
Utah State,12,6,True,FG,1,56
Colorado State,35,9,False,INT,3,42
Utah State,3,3,False,INT,0,49
Colorado State,-1,3,False,PUNT,2,0
Utah State,89,8,True,TD,2,39
Colorado State,-8,3,False,INT,0,54
Utah State,54,5,True,TD,1,22
Colorado State,7,3,False,PUNT,1,5
Utah State,73,10,False,MISSED FG,2,37
Colorado State,0,1,False,END OF HALF,0,8
Utah State,75,3,True,TD,1,11
Colorado State,-4,3,False,PUNT,0,53
Utah State,56,3,True,TD,0,55
Colorado State,16,6,False,PUNT,2,0
Utah State,37,9,False,PUNT,3,56
Colorado State,83,15,False,FUMBLE,5,19
Utah State,51,6,False,FUMBLE,2,13
Colorado State,7,4,False,DOWNS,0,47
Utah State,48,3,True,TD,1,0
Colorado State,84,9,True,TD,2,37
Utah State,91,7,True,TD,3,52
Colorado State,-3,3,False,FUMBLE,0,16
Utah State,-17,3,False,PUNT,2,5
Colorado State,32,7,False,INT,1,35
Utah State,13,2,False,END OF GAME,1,2
Fresno State,6,3,False,PUNT,0,45
Wyoming,66,13,True,FG,7,16
Fresno State,6,3,False,PUNT,1,26
Wyoming,78,10,True,TD,5,38
Fresno State,75,8,True,TD,3,38
Wyoming,75,8,True,TD,4,35
Fresno State,22,8,False,PUNT,3,42
Wyoming,88,11,True,TD,2,23
Fresno State,-2,1,False,END OF HALF,0,31
Wyoming,22,3,False,PUNT,2,44
Fresno State,63,15,True,FG,6,40
Wyoming,30,7,False,PUNT,3,43
Fresno State,32,7,False,PUNT,2,53
Wyoming,6,3,False,PUNT,1,38
Fresno State,54,10,True,FG,3,51
Fresno State,48,7,True,TD,3,14
Wyoming,45,8,False,MISSED FG,3,29
Fresno State,20,6,False,INT,1,2
Wyoming,-3,2,False,END OF GAME,0,46
Boise State,4,3,False,PUNT,1,13
San José State,6,4,False,PUNT,2,36
Boise State,32,2,False,FUMBLE,0,39
San José State,67,5,True,TD,2,19
Boise State,0,1,False,INT,0,7
San José State,25,4,True,TD,1,4
Boise State,6,3,False,PUNT,1,23
San José State,59,11,True,FG,5,44
Boise State,82,3,True,TD,1,17
San José State,65,5,True,FG,2,13
Boise State,59,9,False,FUMBLE,2,50
San José State,84,5,True,TD,2,46
Boise State,70,14,True,TD,4,14
San José State,3,1,False,END OF HALF,0,42
San José State,22,7,False,PUNT,3,34
Boise State,15,5,False,PUNT,2,39
San José State,9,3,False,PUNT,1,27
Boise State,80,4,True,TD,1,46
San José State,46,9,False,DOWNS,4,4
Boise State,71,5,True,TD,2,5
San José State,21,7,False,PUNT,4,12
Boise State,80,13,True,TD,6,43
San José State,-10,1,False,INT,0,12
Boise State,5,4,False,MISSED FG,2,28
San José State,-3,4,False,DOWNS,0,35
Boise State,-2,1,False,END OF GAME,0,15
