Offense,Yards,Plays,Scoring,Drive Result,Elapsed Minutes,Elapsed Seconds
Colorado,21,7,False,PUNT,3,6
Arizona State,94,13,True,TD,2,36
Colorado,50,5,True,FG,0,38
Arizona State,13,2,False,END OF GAME,0,9
California,28,7,False,DOWNS,2,4
Oregon State,53,9,True,TD,5,14
California,37,6,False,PUNT,2,3
Oregon State,6,3,False,PUNT,1,59
California,54,9,True,FG,3,42
Oregon State,26,4,True,TD,2,22
California,19,5,True,TD,1,3
Oregon State,18,1,False,FUMBLE,0,22
California,49,7,True,TD,2,39
Oregon State,75,11,True,TD,6,4
California,9,3,False,PUNT,1,52
Oregon State,-1,1,False,END OF HALF,0,8
Oregon State,50,3,True,TD,1,20
California,75,10,True,TD,3,39
Oregon State,66,9,True,TD,4,9
California,75,8,True,TD,2,55
Oregon State,64,9,True,TD,3,19
California,24,2,False,FUMBLE,0,25
Oregon State,49,4,True,TD,1,28
California,28,4,False,INT,0,55
Oregon State,61,16,True,FG,9,12
California,75,5,True,TD,1,21
Oregon State,7,2,False,END OF GAME,1,4
Washington State,6,3,False,PUNT,0,48
UCLA,1,3,False,INT,1,3
Washington State,4,4,True,FG,1,3
UCLA,46,15,False,MISSED FG,5,13
Washington State,63,6,False,FUMBLE,2,29
UCLA,8,6,False,PUNT,3,30
Washington State,34,4,False,FUMBLE,1,4
UCLA,63,9,True,TD,3,9
Washington State,13,6,False,PUNT,1,11
UCLA,-9,3,False,PUNT,1,32
Washington State,5,3,False,PUNT,2,1
UCLA,8,3,False,PUNT,1,37
Washington State,0,2,False,INT,0,14
UCLA,46,9,True,FG,3,25
Washington State,4,3,False,PUNT,0,21
UCLA,66,7,True,INT TD,0,58
UCLA,5,3,False,PUNT,1,21
Washington State,-5,3,False,PUNT,1,29
UCLA,4,3,False,PUNT,1,19
Washington State,-13,3,False,PUNT,2,6
UCLA,29,5,True,FG,1,19
Washington State,74,4,True,TD,2,2
UCLA,60,8,False,MISSED FG,2,27
Washington State,8,3,False,PUNT,1,15
UCLA,75,10,True,TD,3,7
Washington State,0,1,False,INT,0,8
UCLA,36,4,True,TD,1,35
Washington State,1,3,False,PUNT,0,36
UCLA,5,3,False,PUNT,1,16
Washington State,4,3,False,PUNT,1,36
UCLA,13,6,False,PUNT,3,51
Washington State,33,9,False,DOWNS,2,45
UCLA,9,4,False,END OF GAME,1,33
Notre Dame,29,4,False,INT,1,49
Louisville,70,12,True,TD,7,6
Notre Dame,11,4,False,PUNT,2,2
Louisville,21,5,False,PUNT,2,45
Notre Dame,7,5,False,PUNT,2,2
Louisville,4,3,False,PUNT,1,33
Notre Dame,88,11,True,TD,5,45
Louisville,-7,3,False,PUNT,1,1
Notre Dame,19,6,False,FUMBLE,2,59
Louisville,2,3,False,PUNT,1,35
Notre Dame,-3,3,False,PUNT,0,44
Louisville,25,6,False,MISSED FG,0,38
Notre Dame,-1,1,False,END OF HALF,0,1
Louisville,14,1,False,FUMBLE,0,7
Notre Dame,4,4,True,FG,1,35
Louisville,48,9,True,FG,4,54
Notre Dame,7,3,False,PUNT,1,56
Louisville,64,2,True,TD,0,43
Notre Dame,27,7,True,FG,4,39
Louisville,75,11,True,TD,4,54
Notre Dame,10,5,False,DOWNS,1,30
Louisville,7,4,True,FG,2,11
Notre Dame,0,1,False,INT,0,11
Louisville,-4,4,True,FG,2,18
Notre Dame,1,4,False,FUMBLE,1,28
Louisville,8,4,True,FG,0,22
Notre Dame,75,7,True,TD,1,37
Notre Dame,19,3,False,INT,0,25
Louisville,-2,2,False,END OF GAME,1,10
Wake Forest,15,5,False,PUNT,2,23
